RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.92522222,-43.23175,MAPA DA MINA LOTERIAS,6622,RUA SOARES DA COSTA,20520100,RIO DE JANEIRO,2568-6035,undefined,21"
",-22.89736111,-43.29508333,PASSOS DA SORTE,416,R ADOLFO BERGAMINI,20730000,RIO DE JANEIRO,2597-1883,undefined,21"
",-22.86533333,-43.29555556,PIRIQUITO DA SORTE,2280,EST ADHEMAR BEBIANO,20765171,RIO DE JANEIRO,3979-5812,undefined,21"
",-22.88,-43.275,SANTO ANDRE,465,R ARISTIDES CAIRE,20775090,RIO DE JANEIRO,2581-9053,undefined,21"
",-22.90188889,-43.28111111,SINAL DA FORTUNA,13921,RUA MANUELA BARBOSA,20735110,RIO DE JANEIRO,3273-3698,undefined,21"
",-22.91505556,-43.24252778,VILA TURFE,488,BOULEVARD 28 DE SETEMBRO,20551031,RIO DE JANEIRO,2576-2148,undefined,21"
",-22.80027778,-43.18841667,70 VOCE GANHA LTDA,13608,RUA ANDRE ROCHA,22710560,RIO DE JANEIRO,2445-0163,undefined,21"
",-22.91583333,-43.19555556,73 LOCADORA E LOTERIA,476,R CATUMBI,20251440,RIO DE JANEIRO,2146-9485,undefined,21"
",-22.90277778,-43.2075,A A LOTERIAS LTDA,2518,R RAIMUNDO CORREIA,22040040,RIO DE JANEIRO,2255-9843,undefined,21"
",-22.93191667,-43.17869444,A B LIMA LOTERIA,472,LARGO DO MACHADO,22221020,RIO DE JANEIRO,2285-8090,undefined,21"
",-22.98277778,-43.19127778,A FLOR LOTER. LTDA,2406,RUA JULIO DE CASTILHO,22081020,RIO DE JANEIRO,2267-3484,undefined,21"
",-22.92305556,-43.17305556,A M LOTERIAS LTDA,2546,Rua do Catete,22220000,RIO DE JANEIRO,2557-0978,undefined,21"
",-22.90277778,-43.2075,A SIMPATIA LOTERICA,18462,AV RIO BRANCO,20040070,RIO DE JANEIRO,2252-8881,undefined,21"
",-22.89430556,-43.23622222,ABADA DA SORTE,405,RUA CAPITAO FELIX,20920900,RIO DE JANEIRO,2580-3986,undefined,21"
",-22.87680556,-43.44827778,ABROLHOS LOTERIAS LTDA,14230,Rua Estancia,21715440,RIO DE JANEIRO,3331-1043,undefined,21"
",-22.90277778,-43.2075,AKI DA SAMBA LOTERIAS,15788,ESTRADA DO PORTELA,21351050,RIO DE JANEIRO,2488-2455,undefined,21"
",-22.89177778,-43.24122222,AKI DA SORTE,483,AV DOM HELDER CAMARA,20911291,RIO DE JANEIRO,3860-3589,undefined,21"
",-22.87916667,-43.365,AKIEU TENTO,13490,RUA DAS ROSAS,21330680,RIO DE JANEIRO,3833-2006,undefined,21"
",-22.90252778,-43.25638889,ALICE LOTERIAS LTDA - ME,454,Rua Marechal Bittencourt,20950200,RIO DE JANEIRO,2581-3549,undefined,21"
",-22.92944444,-43.2425,ANTUNES LOTERIAS,453,RUA URUGUAI,20530003,RIO DE JANEIRO,2575-9453,undefined,21"
",-22.90277778,-43.2075,APOSTA CERTA,346,AV. ERASMO BRAGA,20020000,RIO DE JANEIRO,2532-5563,undefined,21"
",-22.91916667,-43.55222222,APOSTA CERTA LOTERIAS LTDA - ME,13832,ESTRADA DA CACHAMORRA,23040150,RIO DE JANEIRO,3394-0151,undefined,21"
",-22.99930556,-43.36230556,APOSTA LEGAL,17967,AV DAS AMERICAS,22790704,RIO DE JANEIRO,2439-7654,undefined,21"
